user_id,name,email,department,role,employment_type,privilege_level,critical_asset_access,hire_date,attempts,opens,clicks,reports,creds_submitted,click_rate,report_rate,creds_any,events,downloads_gb,after_hours_events,anom_geo_events,escalate_events,delete_events,after_hours_rate,anom_geo_rate,violations,viol_low,viol_med,viol_high,viol_repeat_sum,viol_high_any
USR0001,Allison Hill,donaldgarcia@mcclain.com,Finance,Contractor,contractor,normal,0,2021-04-19,3,1,0,1,0,0.0,0.3333333333333333,0,24,36.4,9,1,1,0,0.375,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
USR0002,Lance Hoffman,lrobinson@pacheco-smith.com,HR,Manager,employee,elevated,0,2024-04-27,3,0,0,0,0,0.0,0.0,0,10,7.27,5,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0003,Christopher Bernard,curtis61@abbott-munoz.com,Finance,HR Specialist,employee,normal,1,2024-06-24,4,1,0,0,0,0.0,0.0,0,21,22.73,8,0,2,0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0004,Valerie Gray,maria95@lee.com,HR,Analyst,employee,normal,0,2025-10-03,4,1,0,0,0,0.0,0.0,0,22,17.12,13,0,0,1,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0005,Sharon James,xreid@wood.com,HR,HR Specialist,employee,elevated,0,2024-05-04,2,1,0,0,0,0.0,0.0,0,19,25.67,8,0,0,0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0006,Andrea Reid,frankgray@watts.com,HR,Finance Officer,employee,normal,0,2021-12-22,4,1,0,0,0,0.0,0.0,0,16,35.8,5,0,0,0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0007,Ethan Adams,robinbradley@edwards.info,HR,Analyst,employee,normal,0,2021-07-18,2,1,0,1,0,0.0,0.5,0,8,14.57,5,0,0,0,0.625,0.0,1.0,1.0,0.0,0.0,1.0,0.0
USR0008,Patrick Ryan,zhurst@robinson-bright.net,HR,Manager,employee,admin,0,2023-04-19,2,0,0,0,0,0.0,0.0,0,8,17.259999999999998,4,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0009,Shannon Hernandez,laurahenderson@cruz.info,Marketing,Analyst,employee,normal,0,2023-06-23,3,0,0,0,0,0.0,0.0,0,14,23.55,7,0,0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0010,Shannon Smith,maldonadoamanda@mack-peterson.com,Engineering,HR Specialist,employee,elevated,0,2023-01-02,4,1,0,0,0,0.0,0.0,0,21,17.830000000000002,10,0,0,0,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0011,Troy Liu,teresa28@harrell.net,Finance,HR Specialist,employee,admin,0,2023-11-16,4,1,0,0,0,0.0,0.0,0,18,11.2,9,2,0,0,0.5,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
USR0012,Phillip Ryan,georgetracy@hickman.com,Engineering,HR Specialist,employee,elevated,0,2021-02-12,2,1,0,0,0,0.0,0.0,0,13,11.48,6,0,0,0,0.46153846153846156,0.0,1.0,1.0,0.0,0.0,1.0,0.0
USR0013,Theresa Miller,wcabrera@cannon.net,Operations,Engineer,employee,normal,1,2021-08-27,2,1,0,0,0,0.0,0.0,0,10,12.85,1,0,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0014,Lisa Brandt,jenniferross@santos.com,HR,Contractor,contractor,elevated,0,2022-01-25,3,0,0,0,0,0.0,0.0,0,8,5.83,3,0,0,0,0.375,0.0,2.0,1.0,1.0,0.0,2.0,0.0
USR0015,Alex Spencer,adrianzimmerman@perez.com,Finance,Manager,employee,normal,0,2021-03-08,3,0,0,0,0,0.0,0.0,0,21,24.56,15,1,0,1,0.7142857142857143,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
USR0016,Michael Lewis,jenniferkhan@kennedy.com,HR,Engineer,employee,normal,0,2021-04-20,2,0,0,0,0,0.0,0.0,0,18,13.99,6,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0017,Heather Jenkins,nuneztracey@brown.com,Finance,Engineer,employee,normal,0,2024-10-31,3,0,0,0,0,0.0,0.0,0,12,7.18,5,0,1,0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0018,Corey Herrera,robertramirez@baxter.info,HR,Contractor,contractor,normal,0,2024-11-14,2,1,0,0,0,0.0,0.0,0,17,18.509999999999998,4,1,0,1,0.23529411764705882,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
USR0019,Annette Pearson,novaksara@martin.info,Operations,Contractor,contractor,normal,0,2021-11-24,3,2,0,1,0,0.0,0.3333333333333333,0,17,28.08,9,0,1,0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0020,Anthony Gray,ybaker@mitchell-horton.net,HR,Analyst,employee,elevated,0,2024-02-21,4,2,1,1,0,0.25,0.25,0,8,7.819999999999999,5,0,0,1,0.625,0.0,1.0,1.0,0.0,0.0,2.0,0.0
USR0021,Mr. Daniel Brown,adkinsbrian@woods.com,Engineering,Finance Officer,employee,normal,0,2025-08-20,2,0,0,0,0,0.0,0.0,0,9,17.77,2,0,0,0,0.2222222222222222,0.0,2.0,1.0,1.0,0.0,4.0,0.0
USR0022,Cody Larson,richarddavid@sanchez.biz,Engineering,HR Specialist,employee,normal,0,2024-02-13,3,1,0,0,0,0.0,0.0,0,9,6.03,3,0,0,1,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0
USR0023,Emily Green,john62@brewer.com,Marketing,Contractor,contractor,normal,0,2020-11-16,4,1,0,0,0,0.0,0.0,0,14,8.91,4,0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0024,Kristine Garcia,williamanderson@ibarra-suarez.com,Operations,Contractor,contractor,normal,0,2022-04-03,4,0,0,0,0,0.0,0.0,0,8,5.91,2,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
